Title,Year,Genre,Director,Lead_Actor,Budget_INR,BoxOffice_INR,IMDb_Rating,TMDB_Rating,BoxOfficeMojo_Score,Duration_Minutes,Language,Production_House,Release_Month,Certification
Pathaan,2015,Action,Mani Ratnam,Hrithik Roshan,68000000,92203030.36,1.4,5.2,71.82,163,Tamil,Production House 62,November,A
Bajrangi Bhaijaan,1984,Sci-Fi,Lokesh Kanagaraj,Vijay,13000000,51723227.01,4.3,1.1,45.19,175,Tamil,Production House 189,March,U
PK,2012,Adventure,Shoojit Sircar,Sushant Singh Rajput,61000000,121238777.8,1.8,1.6,46.12,110,Hindi,Production House 302,August,U/A
Sooryavanshi,1980,Sci-Fi,Rohit Shetty,Akshay Kumar,111000000,521122409,7.6,7.3,97.8,108,Hindi,Production House 418,January,U/A
Drishyam,1985,Drama,Imtiaz Ali,Ayushmann Khurrana,191000000,535452720.8,4.3,4.6,57.15,141,Hindi,Production House 25,September,U/A
Queen,2016,Adventure,Neeraj Pandey,Hrithik Roshan,99000000,426894871,1.3,7,11.69,131,Hindi,Production House 1,June,U
Jawan,1981,Horror,Karan Johar,Prabhas,199000000,651031805.7,1.7,4.5,43.38,128,Telugu,Production House 459,January,U
Bajrangi Bhaijaan,1984,Romance,S. S. Rajamouli,Akshay Kumar,79000000,236660955.5,2.8,4.3,56.13,134,Hindi,Production House 271,March,U
Article 15,2005,Comedy,Lokesh Kanagaraj,Akshay Kumar,9000000,32126270.41,8.1,8.7,3.75,178,Hindi,Production House 474,August,U/A
Chak De India,2020,Horror,Neeraj Pandey,Amitabh Bachchan,99000000,411019295.6,8.2,8.7,36.46,102,Hindi,Production House 47,August,A
Kahaani,1992,Thriller,Lokesh Kanagaraj,Ayushmann Khurrana,8000000,27202270.16,10,9.3,96.78,132,Tamil,Production House 166,March,A
Chak De India,1991,Action,Neeraj Pandey,Salman Khan,12000000,49050997.11,3.2,8.4,75.13,172,Hindi,Production House 161,October,A
Drishyam,1984,Thriller,Mani Ratnam,Aamir Khan,174000000,236134223.8,1.5,2.1,37.22,160,Hindi,Production House 305,August,A
Queen,1981,Adventure,Rohit Shetty,Nawazuddin Siddiqui,167000000,292053680.1,3.5,1.6,26.21,155,Hindi,Production House 355,June,U/A
Drishyam,1983,Comedy,Shoojit Sircar,Ranveer Singh,145000000,222394141.1,2.6,1.5,28.32,134,Hindi,Production House 494,July,U
Barfi,2006,Romance,Kabir Khan,Aamir Khan,137000000,560653915.3,7.4,9.8,82.84,93,Hindi,Production House 411,February,U/A
PK,1989,Horror,Rajkumar Hirani,Shah Rukh Khan,44000000,39053454.65,9.7,5.5,40.16,90,Hindi,Production House 436,January,U
KGF,1992,Romance,S. S. Rajamouli,Nawazuddin Siddiqui,23000000,93871840.94,3.5,2,84.32,149,Telugu,Production House 332,November,U/A
Sholay,2023,Comedy,Rohit Shetty,Nawazuddin Siddiqui,86000000,193559370,4,5.9,90.87,139,Hindi,Production House 212,January,U/A
ZNMD,1981,Thriller,Karan Johar,Pankaj Tripathi,129000000,110653907.6,4.2,7.4,46.42,176,Hindi,Production House 268,March,U
Gully Boy,2005,Horror,Anurag Kashyap,Vicky Kaushal,8000000,19279345.41,8.7,1.9,94.53,136,Hindi,Production House 378,July,U
Jawan,1994,Action,Rohit Shetty,Kartik Aaryan,132000000,244498366.5,6.2,4.1,30,106,Hindi,Production House 250,September,U/A
Swades,1989,Drama,Anurag Kashyap,Sushant Singh Rajput,191000000,604282901.1,9.8,2.7,26,175,Hindi,Production House 445,February,U
Jawan,2001,Sci-Fi,Sanjay Leela Bhansali,Sushant Singh Rajput,150000000,393955477.3,6.6,9.8,10.73,124,Hindi,Production House 421,June,U
Drishyam,2019,Romance,Rajkumar Hirani,Prabhas,156000000,286337728.5,7.4,3.9,24.58,97,Telugu,Production House 6,August,U/A
Dangal,2004,Adventure,Shoojit Sircar,Nawazuddin Siddiqui,111000000,486201839.2,1.8,7.2,77.27,145,Hindi,Production House 468,November,A
Dangal,1994,Comedy,Lokesh Kanagaraj,Vijay,97000000,226077551.9,9.6,9.3,40.38,149,Tamil,Production House 215,September,U/A
Queen,1992,Horror,Imtiaz Ali,Salman Khan,35000000,91633673.71,6.7,8.8,14.82,144,Hindi,Production House 463,October,U/A
Chak De India,1987,Adventure,Neeraj Pandey,Ranbir Kapoor,62000000,267209358.4,5.7,4.5,10.7,96,Hindi,Production House 383,December,U/A
Pathaan,2000,Thriller,Anurag Kashyap,Prabhas,32000000,28824151.6,4.5,3.8,49.02,154,Telugu,Production House 348,March,U/A
Lagaan,2000,Action,Imtiaz Ali,Hrithik Roshan,141000000,317887198.5,1.7,8.3,53.94,114,Hindi,Production House 290,May,A
Dangal,2001,Adventure,Imtiaz Ali,Rajkummar Rao,177000000,409375350.8,2.2,2.8,79.46,113,Hindi,Production House 392,May,U
Jawan,2012,Thriller,Mani Ratnam,Hrithik Roshan,94000000,256734252.1,1.1,7.5,71.48,164,Tamil,Production House 468,December,A
ZNMD,2024,Action,Anurag Kashyap,Allu Arjun,53000000,51809761.28,10,8.5,16.71,154,Telugu,Production House 6,November,U
Kahaani,2006,Horror,Vetrimaaran,Amitabh Bachchan,115000000,110626612.7,8.1,8.6,27.69,136,Tamil,Production House 188,August,A
Barfi,2019,Drama,Mani Ratnam,Irrfan Khan,6000000,14243230.81,8.2,1.1,69.38,97,Hindi,Production House 154,January,U/A
Dangal,2001,Drama,Imtiaz Ali,Allu Arjun,10000000,6486305.376,7.6,5.5,18.06,134,Telugu,Production House 177,November,A
Lagaan,2009,Adventure,Neeraj Pandey,Rajkummar Rao,33000000,54365177.32,5.4,4.2,80.32,118,Hindi,Production House 274,March,A
Kahaani,1988,Sci-Fi,Kabir Khan,Aamir Khan,158000000,222036671.9,1.8,9.8,65.74,120,Hindi,Production House 127,June,U/A
